Song Title,Lyrics
Slava-kpss-freeriotypeintro-rzt-30-diss-lyrics,"Ай, ха-тьфуЯ переплюнул твой флоуИнтересно, двадцать три балла поставит этому релизу Флом?Номер уно текстовик в России, как DVRST фонкМой рэп берёт твой рэп и его ебёт в рот Бро, я сейчас серьезно Мой прошлый альбом уже классическая прозаМой прошлый альбом – живая классика, как УэльбэкКак Бабангида «Макаревич» и Смоки Мо «Кара-Тэ»Столько лет ебашу, но для многих невидимка рэпа Невидимка: я ебу их в рот – они не видят это Мой альбом не в топ один за год – эт не рэп СМИ И вы не критики, а составители списка хуйни «Россия34» – народный кандидат Я могу в любой стилёк – я универсальный солдатДропнул где-то сто треков за год – я только расчитался Мне даётся это так легко, будто играл с читами На бесконечный талант и бесконечный свэг Я не забираю год, передумал, я забираю векМой альбом такая имба, что его надо нёрфить Выкинул два сильных трэка, чтоб не разъебало жёстче You might also likeСобрал клуб, где выступал Егор, я Антихайп, деткаДа, я лега уровня ГО, пора признать этоУ меня лежит где-то альбом слишком жёсткого рэпаВсе лейблы сказали: «Простите, мы не можем издать это!»То, что я хочу сделать с собой – петь незаконно это Меньше лямчика на стримах? Биф? Мне неинтересноСначала сделай шума, а пока диссь безответно Я лента для пулемёта панчей – ты для бедных Мой вариант, я съем тебя на ужин – Полифем я Будешь так базарить – зубы заберёт не фея На мне мифические вещи – древнегреческая схема Я с рождения G.O.A.T. – меня вскормила Амалфея Чё-то слабо ёбнул, но я не хотел сильнее Не буду диссить в крысу, пацаны, it's not «Imperial»Бро, я дропал на Луне, отсюда эти кратеры Я лучший рэп в стране – вот откуда этот пафос весьАйПросто записываю бары, но все МС ахуели, будто я – фиток Билана JEEMBO и Scally Milano под продакшн Чипинкоса На тайп Лазерного Димы, в клипе снялся мёртвый Toxi$Стиль весомый, будто сделал гравитацию х5 Пацаны на этих блоках поднялись, будто Фиксай Гонорарам скоро в школу – они стали совсем большими Я за творчество без риса, так что я беру сашими Чё, сука? Чё, сука? Чё, сука?Ничё не меняется с годами – это день сурка Когда дропал «Солнце мёртвых», все и его говнили Но я Антихайп не чтобы делать то, к чему привыкли «Мы подняли русский рэп», – я про кого? Я тут один!Оппы умирают в ГТА РП – я тут админОбещался без конфликтов, но снова нарамсилЩа я схаваю весь русский рэп, бро, у меня читмиллГоворишь ты G.O.A.T., а мы ебали этого козла Я надеюсь, мои панчи не погибнут никогда Я сперва респектовал, а потом тя хуями крылУ меня трёхтомник на руках – это «Война и мир» Чё там рифмы? А! Чё там рифмы?Десна в крови хап, Депрсна ща next upДисс на артистов, кто не с нами? Весь стакТебе в еблище, те пизда, как Tech N9neВсюду кровища – мы дизайнерский драгДизайн, как ЛебедевЗа мной, как леммингиFuck all, как в пейрингеБро, жир – микстейпы ихСмыл ща, как Fairy ихЗаткнул, как gaging ихTrouble with my daddy issuesI'm fuck with thatГде рифмы? Их нетYou got no brain, старый дедТы в безопасности был бы, бля, в Walking DeadБензо разлил на куплет – не курите здесьДевяносто в чат, кому не нравится мой новый рэпСудьбоносно, как в двухтысячном выбранный президентХуесосишь мой tape – я станцую, как Lil Uzi VertНа твоей башке, я выбираю газ, как ICEGERGERT Биф со мной – опасно, как беременной запрыгнуть в слэмЯ не в 4n Way, но я в форме, эйКто тут хуесос, ну-ка, тридцать в чатЯ не G.O.A.T., я семеро козлятWho shot you – кикнул с сервера нубаСтарый открыл рот – у него, бля, треснула губаМои рифмы, как Ислам Махачев в тёмном переулкеВ смысле, зря ты доебалсяВ смысле как-то раз ФломастерВызвал тачку – эконом. Ваш водитель – РахмаджонИ он такой: «Не сяду». М-м-м, в том дело лиЧто он готов кататься исключительно лишь с белыми?Я Крейг Беламми, как МелоныМы не клиторальные оргазмы – мы не пальцем деланыИ как Вова Гэл и Мэйби Бэйби – мы в недрах игрыВенчанные с рэпом, тушим ведрами чёрной икрыБедности пожар, что 90-е в нас разожглиСияю, как квазар, двигаюсь чётко, как будто в HDЕбу их так, что они молят: «P. Diddy, изыди»Mader chod – ща я трахнул их маму на хиндиАй, FreeRio typeНадеюсь, совпадут твои ожидания, да, от альбомчика «Россия34»Охуенный альбом, да даже если не совпадут, в целом похуй, альбом-то охуенный, да, альбом хуже не станет от того, что...Там, наверное, цифрыКто-то его не поймётКомментарии, вот рецензии развёрнутые, Флом точно посмотритДа, я думаю, братишке Флому понравится"
Slava-kpss-doodle-jump-lyrics,"На этот куплет...... Но Гнойный мне ближе, чем рэпер, у которого слава Я всегда был Антихайп, просто ты не знал полного состава Главное, чтобы сироп впирал, даже не знаю полного состава Я до конца за брата, покурили раз, заехали......Хочешь видеть бога? Смотри на меня или зайди на стрим Замая You might also lik"
Slava-kpss-swag-lyrics,
Slava-kpss-tour-song-lyrics,
Slava-kpss-the-motherland-lyrics,"... в озере Здесь пацаны вывозят Нет, ты не понял, блятьЗдесь пацаны вывозятРодина, родина, родина, родина, родина, родина Родина, родина, родина, родина, родина, родина Родина, родина, родина, родина, родина, родина Родина, родина, родина, родина, родина, родина Я сейчас на родине Я сейчас на родине Я сейчас на родине Я сейчас на родине Русский мальчик, русский мальчик, ёбаный в рот, это русский мальчикРусский мальчик, русский мальчик, ёбаный в рот, это русский мальчикРусский мальчик, русский мальчик, ёбаный в рот, это русский мальчикРусский мальчик, русский мальчик, ёбаный в рот, это русский мальчикРодина, родина, родина собрал колорадских жуков в огороде яРодинка, родинка, родинкаНа твоей жопе так манит колхозникаВ её записной я Самсон БогородскийЗови домой если твой телик плоскийКатим на моцыке под самогономТут всё по людски, да, тут всё по канонамЗа стол не садись если там кто-то с УБОПаВ городе Павлово торговал укропомБар...You might also lik"
Slava-kpss-antih-lyrics,
Slava-kpss-24-russia24-lyrics,"«Россия24», ай«Россия24», ай«Россия24», ай«Россия24», ай«Россия24», ай«Россия24», ай, е«Россия24», ай«Россия24», эйYou might also lik"
Slava-kpss-dnd-drift-and-drill-lyrics,
Slava-kpss-outsiders-lyrics,
Slava-kpss-all-dogs-go-to-heaven-lyrics,
